,repository_name,language
0,.github,
1,aioshumway,Python
2,android-auth,HTML
3,android-sdk,HTML
4,android-store-service,Python
5,annoy,C++
6,annoy-java,Java
7,apollo,Java
8,apollo-elide,Java
9,apollo-metrics,
10,apps-tutorial,
11,async-datastore-client,Java
12,async-google-pubsub-client,Java
13,backup-utils,Shell
14,basic-pitch,Python
15,basic-pitch-ts,TypeScript
16,batty,Python
17,bazel-tools,Java
18,beam,Java
19,big-data-rosetta-code,Scala
20,bigtable-autoscaler,Java
21,boilerplate-app,
22,bucket-runner,JavaScript
23,cartography,Python
24,cassandra-extra,Java
25,cassandra-medusa,Python
26,cassandra-opstools,Java
27,cassandra-reaper,
28,certcheck,Python
29,chartify,Python
30,code-of-conduct,
31,collectd,C
32,comet,Python
33,comet-common,Python
34,comet-core,Python
35,completable-futures,Java
36,condor,Java
37,confidence,Python
38,confidence-openfeature-provider-go,Go
39,confidence-openfeature-provider-js,TypeScript
40,confidence-openfeature-provider-kotlin,Kotlin
41,confidence-openfeature-provider-python,Python
42,confidence-openfeature-provider-swift,Swift
43,container-agent,Python
44,cookiecutter-golang,Go
45,coordinator,HTML
46,crtauth,Python
47,crtauth-java,Java
48,crtauth-java-agent-signer-apache,Java
49,crunch-lib,Java
50,cstar,Python
51,daemon-java,Java
52,dataenum,Java
53,DataflowJavaSDK,Java
54,dataproc-java-submitter,Java
55,dataprocxy,Python
56,dbeam,Java
57,debify,Shell
58,dh-virtualenv,Python
59,diffuser,Swift
60,dns-java,Java
61,docgenerator,Java
62,docker-alpine,
63,docker-bigtable,Go
64,docker-cassandra,Shell
65,docker-client,Java
66,docker-gc,Shell
67,docker-kafka,Shell
68,docker-maven-plugin,Java
69,docker-stress,Python
70,dockerfile-maven,Java
71,dockerfile-mode,Emacs Lisp
72,docker_interface,Python
73,drserv,Python
74,druid,
75,duck,Ruby
76,echoprint-codegen,C++
77,echoprint-server,Java
78,elasticsearch-index-window,Java
79,elitzur,Scala
80,eslint-config-oss,JavaScript
81,etcd,Go
82,featran,Scala
83,ffwd,Java
84,ffwd-client-java,Java
85,ffwd-http-client,Java
86,ffwd-ruby,Ruby
87,flink,Java
88,flink-docker,
89,flink-on-k8s-operator,Go
90,flo,Java
91,flume-syslog-source2,Java
92,flyte-flink-plugin,Go
93,fmt-maven-plugin,Java
94,folsom,Java
95,foss-root,
96,futures-extra,Java
97,futuristic-feline,Java
98,gcp-audit,Python
99,gcp-firewall-enforcer,Python
100,gcs-tools,Scala
101,ghelog,Python
102,gimme,Python
103,git-test,Shell
104,github-java-client,Java
105,google-http-java-client,Java
106,gordon,Python
107,gordon-gcp,Python
108,gordon-introspection,Python
109,gordon-janitor,Python
110,gordon-janitor-gcp,Python
111,griffin,Python
112,hadoop-openpgp-codec,Java
113,hdfs2cass,Java
114,helios,Java
115,helios-go,Go
116,helios-skydns,Java
117,heroic,Java
118,heroic-client-go,Go
119,heroic-client-java,Java
120,homebrew-public,Ruby
121,hornet,Scala
122,HubFramework,Objective-C
123,hush-tab,JavaScript
124,hype,Java
125,hyperflo,Scala
126,ieee-spm-vocals-tutorial,Jupyter Notebook
127,ios-auth,Objective-C
128,ios-ci,Shell
129,ios-sdk,Objective-C
130,ios-style,
131,java-hamcrest,Java
132,java-lkk,Java
133,jenkins-coverage-poster,Groovy
134,jira-lkk-bridge,Java
135,JniHelpers,C++
136,jsconfeu-2013,JavaScript
137,kafka,Scala
138,kairosdb,Java
139,kernel-common,
140,klio,Python
141,lemur,Python
142,lighthouse-audit-service,TypeScript
143,limbo,Scala
144,lingon,JavaScript
145,linux,C
146,logging-java,Java
147,luigi,Python
148,lyceum,Clojure
149,mace,
150,magnolify,Scala
151,metrics-munin-reporter,Java
152,missinglink,Java
153,mlockexec,Python
154,mobius,Java
155,mobius-android-sample,Java
156,Mobius.swift,Swift
157,moob,Ruby
158,netty-batch-flusher,Java
159,netty-zmtp,Java
160,noether,Scala
161,okta-sdk-python,Python
162,openfeature-kotlin-sdk,Kotlin
163,openfeature-swift-sdk,Swift
164,pedalboard,C++
165,PeqBank,C
166,perf-map-agent,C
167,phpconf-argentina-2014,JavaScript
168,platform-external-bluetooth-bluez,
169,polly-jest-presets,TypeScript
170,postgresql-metrics,Python
171,proto-registry,TypeScript
172,proto-requests,TypeScript
173,protoman,Java
174,puppet-talos,Puppet
175,pyeos,Python
176,pyfg,Python
177,pyschema,Python
178,python-graphwalker,Python
179,pythonflow,Python
180,pywk,Python
181,quickstart,JavaScript
182,ratatool,Scala
183,react-native-lookback,Objective-C
184,reactochart,JavaScript
185,realbook,Python
186,redux-location-state,JavaScript
187,requests-crtauth,Python
188,robolectric,Java
189,rspec-dns,Ruby
190,rspec-dnsruby,Ruby
191,ruler,Kotlin
192,s3mper,Java
193,scanctl,Python
194,scio,Scala
195,scio-contrib,Scala
196,scio-idea-plugin,Scala
197,scio.g8,Scala
198,sekexe,Shell
199,semantic-metrics,Java
200,should-up,JavaScript
201,shumway,Python
202,simple-bigtable,Java
203,skydns,
204,skygc,Python
205,snakebite,Python
206,soa-reference-integration,TypeScript
207,spark-bigquery,Scala
208,sparkey,C
209,sparkey-java,Java
210,sparkey-python,Python
211,spawn,Java
212,spotify-checkstyle-config,
213,spotify-heroic-datasource,TypeScript
214,spotify-js-challenge,JavaScript
215,spotify-json,C++
216,spotify-tensorflow,Python
217,spotify-web-api-ts-sdk,TypeScript
218,spotify-web-playback-sdk-example,JavaScript
219,spotify.github.io,HTML
220,SpotifyLogin,Swift
221,sprunch,Scala
222,SPStackedNav,Objective-C
223,SPTDataLoader,Objective-C
224,SPTPersistentCache,Objective-C
225,spydra,Java
226,spymaster,Python
227,squashing-census-exporter,Kotlin
228,ssh-agent-proxy,Java
229,ssh-agent-tls,Java
230,styx,Java
231,super-smash-brogp,Python
232,swupdate,
233,syslog-redirector,Go
234,syslog-redirector-golang,Go
235,talos,Ruby
236,terraform-gke-kubeflow-cluster,HCL
237,terraform-google-aws-hybrid-cloud-vpn,HCL
238,terraform-google-grr,HCL
239,testing-game,Python
240,tfexample-derive,Scala
241,tfreader,Scala
242,tfx,Python
243,threaddump-analyzer,JavaScript
244,trickle,Java
245,ts-interface-loader,TypeScript
246,tutter-jenkins,Ruby
247,uboot,
248,ulogger,Python
249,Vandelay,Java
250,vdisk,Python
251,visualizer-app,
252,volcano,Go
253,voyager,C++
254,wasd,Java
255,web-api,RAML
256,web-api-examples,HTML
257,web-audio-bench,JavaScript
258,web-playback-sdk,
259,web-scripts,TypeScript
260,web-scripts-library-template,TypeScript
261,XCMetrics,Swift
262,XCRemoteCache,Swift
263,zoltar,Java
